Date,leveled log 10yr Bond
1990-11-19,-0.022738461137235877
1990-11-20,-0.027340391132643305
1990-11-21,-0.03196549096440027
1990-11-23,-0.030557031602831852
1990-11-26,-0.03156549096440031
1990-11-27,-0.030157031602831896
1990-11-28,-0.027544485197447788
1990-11-29,-0.024937745166882408
1990-11-30,-0.031975412467112996
1990-12-03,-0.0366297909319111
1990-12-04,-0.03886584572979235
1990-12-05,-0.043555831023984304
1990-12-06,-0.040907849385344086
1990-12-07,-0.0592154720413296
1990-12-10,-0.06526158853828257
1990-12-11,-0.07008672474095556
1990-12-12,-0.07367221822043746
1990-12-13,-0.06466158853828263
1990-12-14,-0.055727908569527695
1990-12-17,-0.05926157812157706
1990-12-18,-0.06280924022181678
1990-12-19,-0.06135845832016429
1990-12-20,-0.054927908569527784
1990-12-21,-0.04730213187267873
1990-12-24,-0.036065845729792656
1990-12-26,-0.04198207274722865
1990-12-27,-0.0467021318726788
1990-12-28,-0.04280981998555067
1990-12-31,-0.05000812746699568
1991-01-02,-0.06351550719787591
1991-01-03,-0.06834696435324306
1991-01-04,-0.05686157812157688
1991-01-07,-0.0430390764402806
1991-01-08,-0.039155831023984344
1991-01-09,-0.027986799653410444
1991-01-10,-0.03875583102398439
1991-01-11,-0.033665845729792476
1991-01-14,-0.02981398531102153
1991-01-15,-0.030829790931911294
1991-01-16,-0.02819965607861974
1991-01-17,-0.051327908569527736
1991-01-18,-0.05361547204132977
1991-01-21,-0.05092790856952778
1991-01-22,-0.04824651771814281
1991-01-23,-0.05177091680912538
1991-01-24,-0.05655845832016437
1991-01-25,-0.04888644348146309
1991-01-28,-0.048686443481463115
1991-01-29,-0.04972790856952747
1991-01-30,-0.04952790856952749
1991-01-31,-0.051815472041329524
1991-02-01,-0.06667221822043734
1991-02-04,-0.0702720961302119
1991-02-05,-0.07388646820568301
1991-02-06,-0.08135914011734302
1991-02-07,-0.07731544544278002
1991-02-08,-0.08352983562044392
1991-02-11,-0.08204366180969958
1991-02-12,-0.0818436618096996
1991-02-13,-0.08164366180969962
1991-02-14,-0.07887626630445377
1991-02-15,-0.08124366180969966
1991-02-19,-0.07847626630445381
1991-02-20,-0.07316116563768382
1991-02-21,-0.06787209613021217
1991-02-22,-0.06387221822043765
1991-02-25,-0.06367221822043767
1991-02-26,-0.05717100014370846
1991-02-27,-0.054461588538282424
1991-02-28,-0.04926157812157683
1991-03-01,-0.036669845826413194
1991-03-04,-0.036469845826413216
1991-03-05,-0.04120812746699576
1991-03-06,-0.0373021318726785
1991-03-07,-0.042046517718142606
1991-03-08,-0.03443907644028066
1991-03-11,-0.042886443481462866
1991-03-12,-0.03897126892959957
1991-03-13,-0.04746157812157703
1991-03-14,-0.04726157812157705
1991-03-15,-0.037135938321606776
1991-03-18,-0.03078207274722855
1991-03-19,-0.018386799653410613
1991-03-20,-0.024265845729792623
1991-03-21,-0.02895583102398458
1991-03-22,-0.03243907644028088
1991-03-25,-0.0322390764402809
1991-03-26,-0.03203907644028092
1991-03-27,-0.03800812746699567
1991-03-28,-0.04152790856952748
1991-04-01,-0.038846517718142515
1991-04-02,-0.04361547204132954
1991-04-03,-0.04092790856952755
1991-04-04,-0.0469584583201641
1991-04-05,-0.04800924022181663
1991-04-08,-0.049061588538282574
1991-04-09,-0.04261547204132965
1991-04-10,-0.03373593832160671
1991-04-11,-0.034771268929599586
1991-04-12,-0.04826158853828266
1991-04-15,-0.05182807133375933
1991-04-16,-0.04911550719787616
1991-04-17,-0.05142807133375937
1991-04-18,-0.04246157812157714
1991-04-19,-0.03233593832160686
1991-04-22,-0.025982072747228635
1991-04-23,-0.029469845826413543
1991-04-24,-0.036686443481463105
1991-04-25,-0.03524651771814247
1991-04-26,-0.036286443481462705
1991-04-29,-0.03484651771814251
1991-04-30,-0.04086157812157687
1991-05-01,-0.04190923891973197
1991-05-02,-0.04671550719787598
1991-05-03,-0.037770916809125143
1991-05-06,-0.03632790856952761
1991-05-07,-0.03488644348146286
1991-05-08,-0.03717091680912521
1991-05-09,-0.03946157812157702
1991-05-10,-0.026869845826413385
1991-05-13,-0.03284651771814273
1991-05-14,-0.024009819985550962
1991-05-15,-0.025039076440280805
1991-05-16,-0.026069845826413474
1991-05-17,-0.030808127466996016
1991-05-20,-0.02813593832160688
1991-05-21,-0.03288644348146308
1991-05-22,-0.0326864434814631
1991-05-23,-0.0275359383216065
1991-05-24,-0.027335938321606523
1991-05-28,-0.030846517718142508
1991-05-29,-0.03064651771814253
1991-05-30,-0.03666157812157689
1991-05-31,-0.03148644348146279
1991-06-03,-0.021409819985550804
1991-06-04,-0.021209819985550826
1991-06-05,-0.01488610213502195
1991-06-06,-0.009813985311021511
1991-06-07,-0.002350030852796614
1991-06-10,-0.002150030852796636
1991-06-11,-0.0019500308527966581
1991-06-12,0.006658427096610353
1991-06-13,0.004463216370655498
1991-06-14,-0.0013500308527967242
1991-06-17,5.551480255228114e-05
1991-06-18,0.002662254833117217
1991-06-19,0.004063456178751146
1991-06-20,0.0006555148025522151
1991-06-21,0.003262254833117151
1991-06-24,0.004663456178751524
1991-06-25,0.004863456178751502
1991-06-26,0.00506345617875148
1991-06-27,0.004062254833117507
1991-06-28,-0.005399656078619586
1991-07-01,-0.002775412467113103
1991-07-02,-0.0013654909644000846
1991-07-03,-0.002375412467113147
1991-07-05,0.007463216370655612
1991-07-08,0.00766321637065559
1991-07-09,0.0102584270966104
1991-07-10,0.009261538862764152
1991-07-11,0.0034555148025523508
1991-07-12,-0.0011754124671132793
1991-07-15,-0.0009754124671133013
1991-07-16,0.0004345090355997172
1991-07-17,0.004255514802552263
1991-07-18,0.005659608867356614
1991-07-19,0.002242968397168088
1991-07-22,0.00244296839716851
1991-07-23,0.006259608867356992
1991-07-24,-0.001999656078619516
1991-07-25,-0.006665845729792341
1991-07-26,-0.006465845729792363
1991-07-29,-0.006265845729792385
1991-07-30,-0.004847076535662964
1991-07-31,-0.005865845729792429
1991-08-01,-0.005665845729792451
1991-08-02,-0.02268644348146287
1991-08-05,-0.02497091680912522
1991-08-06,-0.033515507197876104
1991-08-07,-0.03834696435324325
1991-08-08,-0.03186158853828269
1991-08-09,-0.031661588538282714
1991-08-12,-0.03522807133375938
1991-08-13,-0.040072218220437605
